time in hr:min:sec (displays in total sec)	time in hr:min:sec (displays in total sec)	annotation	layer
3528	3528	I'm going to read a few poems in Beast Language	Notes
3535	3535	that's chaucer	Notes
3540	3540	poem 1	Notes
3565	3565	poem 2	Notes
